date,cover_rate
2021-02-01,1.07694099378882
2021-02-02,0.7588509316770187
2021-02-03,1.0638198757763975
2021-02-04,1.2993012422360248
2021-02-05,0.840527950310559
2021-02-06,0.5932453416149068
2021-02-07,7.650310559006211
2021-02-08,5.907763975155279
2021-02-09,2.4763198757763973
2021-02-10,1.0869565217391304
2021-02-11,5.752406832298137
2021-02-12,2.7520186335403727
2021-02-13,2.1954192546583853
2021-02-14,0.7563664596273292
2021-02-15,3.38027950310559
2021-02-16,1.5811335403726707
2021-02-17,6.821350931677019
2021-02-18,2.2680900621118014
2021-02-19,7.417158385093168
2021-02-20,7.128416149068323
2021-02-21,4.308695652173913
2021-02-22,3.1461180124223604
2021-02-23,1.4565217391304348
2021-02-24,1.6089285714285715
2021-02-25,1.1479037267080745
2021-02-26,1.512111801242236
2021-02-27,0.6996894409937888
2021-02-28,0.8118788819875776
2021-03-01,0.6846273291925465
2021-03-02,1.0241459627329192
2021-03-03,1.3388975155279503
2021-03-04,0.6835403726708075
2021-03-05,0.7414596273291926
2021-03-06,0.8251552795031056
2021-03-07,2.959083850931677
2021-03-08,2.135170807453416
2021-03-09,1.9409937888198758
2021-03-10,1.6573757763975154
2021-03-11,1.0760093167701863
2021-03-12,2.9834627329192545
2021-03-13,0.4274844720496894
2021-03-14,14.181521739130435
2021-03-15,4.280745341614907
2021-03-16,3.856521739130435
2021-03-17,3.698757763975155
2021-03-18,2.5040372670807454
2021-03-19,0.8159937888198758
2021-03-20,0.31894409937888196
2021-03-21,8.326397515527951
2021-03-22,4.2370341614906835
2021-03-23,3.3256211180124224
2021-03-24,1.1190993788819876
2021-03-25,3.3922360248447205
2021-03-26,3.899301242236025
2021-03-27,2.106055900621118
2021-03-28,2.68555900621118
2021-03-29,0.900776397515528
2021-03-30,2.4317546583850933
2021-03-31,0.7017080745341615
2021-04-01,0.8111024844720497
2021-04-02,1.8616459627329192
2021-04-03,2.535326086956522
2021-04-04,5.435481366459627
2021-04-05,3.90667701863354
2021-04-06,4.018478260869565
2021-04-07,0.9748447204968944
2021-04-08,2.2964285714285713
2021-04-09,0.9954192546583851
2021-04-10,2.625776397515528
2021-04-11,2.594409937888199
2021-04-12,1.2241459627329192
2021-04-13,3.7305900621118013
2021-04-14,2.2162267080745344
2021-04-15,2.3749223602484473
2021-04-16,0.6605590062111801
2021-04-17,2.6911490683229813
2021-04-18,1.7358695652173912
2021-04-19,2.5289596273291925
2021-04-20,1.8011645962732918
2021-04-21,0.5913819875776397
2021-04-22,0.22639751552795032
2021-04-23,4.2611801242236025
